StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Consent,Screening,Age,Role,Domain,Dashboard,Frequent_1,Experience_1,Goals,Uses,Explore,Role,Unsupported,Situation,Rely,Feature,Hypothesis,Insight,Externalized,Comfort_1,Initiative,Control,Concerns,Annotate,Theme,Suggest,Explore,PROLIFIC_PID
2025-05-31 15:44:46,2025-05-31 16:09:16,IP Address,41.150.226.159,100,1470,True,2025-05-31 16:09:17,R_2cY4exNT6IOjK4s,,,,,-26.2309,28.0583,anonymous,EN,1,I consent,"Yes, regularly",67,Senior Manager,Finance,Power Bi,5,4,"Decision Making, Financial reports","Current status, trends",It depends on their purpose.,To help aligned with goals,Dashboard regarding data integration and analysis,No i have never felt stuck.,dropdowns and charts.,Not really,"Yes, dashboard usage often involves forming and testing hypotheses","Yes, annotating helps you remember and process information ,fostering critical thinking and deeper understanding.","Yes, it helps me when i have to refer back.",5,Generate dashboards with reports.,Ai can control explanations.,When it does not give accurate reports.,It would affect my workflow positively,It would make it easier especially with reports.,It would be very much helpful and less time consuming.,For now i am not sure.,67b5d45915d3486f142a07b1
2025-05-31 15:55:04,2025-05-31 16:11:01,IP Address,165.73.188.166,100,957,True,2025-05-31 16:11:02,R_8EA0q289hAYUGat,,,,,-25.0995,30.4494,anonymous,EN,0.30000001192092896,I consent,"I haven’t used them a lot, but I understand how they work and read them when shared",33,"Finance advisor(IT) ","Private sector ",Power BI,5,5,"Advancing my knowledge ","There are so many questions ie about Ai,decision making tasks",Very often I use them daily,It helps me with so many ideas so I can be able to finish my work quickly,None,Yes probably it was a technical issue,Intelligent alerts,"None ",No,"Yes it's important because I gained so much using dashboard ",I always read to understand so that it can stay in my head for long,5,"Even now AI helps so much ","I would vote for Ai any day it's very good it's makes everything easier ",It's good it helps a lot and corrects me also,It wouldnt,"It will help very much ","Very helpful ",Everything on dashboard is fine with me,6826217470084516f306ec3c
2025-05-31 15:53:10,2025-05-31 16:11:25,IP Address,105.4.1.136,100,1095,True,2025-05-31 16:11:26,R_8iDwaD5Z2mbzIl5,,,,,-26.1917,28.0523,anonymous,EN,1,I consent,"Yes, regularly",30,Animal scientist,"Agriculture ",Tableau,4,5,Decision making,How are our metrics trending,Analyze trend and correlation vs resentung results to stakeholders,To gain some insights,Complex data analysis and customization.,When navigating large datasets or unclear visualizations.,Filters and charts.,Advanced customization options.,"Yes, while analyzing trends or correlations. Eg Noticing a correlation between sales and seasonality might lead to a hypothesis about seasonal demand. ","Yes, to ensure accuracy and track decision-making.","Yes, through notes and screenshots to document findings and decisions.",4,When dealing with repetitive tasks or large datasets vs When requiring customized or nuanced analysis.,"Significant control to ensure accuracy and relevance. Yes, to understand reasoning behind suggestions. ","Bias, inaccuracies, and lack of context understanding.",Would enhance collaboration and documentation.,Would facilitate organization and pattern identification.,Would streamline analysis and discovery.,"Advanced customization, automated insights, and seamless storytelling capabilities.",6771ad00548b3a182d5f80e0
2025-05-31 15:47:03,2025-05-31 16:11:36,IP Address,88.209.229.247,100,1473,True,2025-05-31 16:11:36,R_3nlmXj4DoilxFCO,,,,,47.4891,-92.8838,anonymous,EN,1,I consent,"Yes, occasionally",47,Account management/consultant,Computer and electronic manufacturing,Tableau,3,3,"To make informed, evidence based decisions, detect anomalies ,trends, or changes quickly and take timely action","Questions such as descriptive questions, diagnostic questions",They are often explanatory because they are used regularly and are designed to summarize and explain known results,To provide real time visibility into key metrics that support informed and timely decision making,"One difficult task is customizing dashboards for multi-level comparisons (e.g., comparing performance across regions, departments, and timeframes simultaneously).","Yes. I’ve felt stuck when navigating dashboards with too many filters or unclear labels—for example, when trying to drill down into sales by product category, but unsure if the filter logic was cumulative or exclusive.","I rely most on interactive filters, dropdown selectors, and trend charts. Filters help narrow down data quickly, dropdowns make comparing groups easy, and trend charts are essential for spotting patterns over time. ","Yes. I wish dashboards had an “explain this insight” button—where the tool automatically provides context or highlights key contributing factors (like a smart assistant). ","Yes, I often form hypotheses while using dashboards. For example, after noticing a sharp drop in website traffic from mobile devices, I hypothesized that a recent update may have caused compatibility issues.",Absolutely. Annotating or validating insights helps ensure that interpretations are accurate and reproducible—especially when presenting findings to stakeholders.,"Yes, I often take screenshots and jot down notes—especially during exploratory tasks or when preparing a report. This helps me track my reasoning, flag anomalies, and capture views I might not easily reproduce later.",4,"I’d want AI to take initiative during routine or exploratory tasks—like automatically creating visualizations based on uploaded data, suggesting trends, or flagging anomalies.","I’d want high control over the AI’s actions, especially when it's modifying views, filtering data, or summarizing conclusions.","My main concern is that AI might misinterpret context or prioritize irrelevant metrics, leading to biased or misleading insights.","It would significantly improve my workflow. Being able to add annotations directly on charts would help me capture context, hypotheses, or uncertainties in real time.","Grouping and tagging dashboard views would help me organize my exploration more effectively—especially when working on complex projects with multiple variables. ","That would be very helpful, especially during exploratory analysis. ","Smart annotations: 

Version history or exploration path: 

Collaboration mode.",682b4a1210fdd6ae1383a7db
2025-05-31 15:49:50,2025-05-31 16:15:45,IP Address,41.113.22.63,100,1554,True,2025-05-31 16:15:45,R_8AiHBJ7bgBmwy7n,,,,,-26.1917,28.0523,anonymous,EN,1,I consent,"Yes, occasionally",52,data analisty,information technology,Power BI,4,4,Exploration and decision making,"how can we solve the challenges that we face in our field ",occasionally,centralized information and proactive problem solving,"dealing with data that is spread a cross many system ",yes it was one time our system was hacked,"mostly we use charts and graph's ","no i think it is fine ",not exactly,"yes because it make it east when you are explaining with those notes diagram it real make it easy  ",i usually take notes i have a note paid where i write everything so that i can remember easily and to keep information,4,"yes but not every time i would like it to guide me when i have run out of ideas  ",yes so that i can be sure about everything,"i will be scared what if it make mistakes ",it will help every one to understand,it will help use to demonstrate our ideas very easy and effective,that will be very helpful it would make our job easy,AI Assistance,6766b0cd1232a844949fcc50
2025-05-31 15:47:17,2025-05-31 16:16:10,IP Address,79.79.198.24,100,1733,True,2025-05-31 16:16:11,R_8ARzuxKOUJLhzSF,,,,,53.6767,-1.6584,anonymous,EN,0.800000011920929,I consent,"Yes, occasionally",64,Design Engineer,Engineering,Databox,2,1,Monitoring the performance and output of machines.  Getting data to troubleshoot for probems,What were the top selling products last year. How long are orders taking to fulfil.  what is our current stock turnover rate.  What is causing delays during the production process,40/60,"Providing accurate, detailed data quickly.",It is difficult to rely on the troubleshooting information that we tend to double check,if I have got stuck I have contacted the help centre or looked at the Databox trouble shooting guides,"We use filters a lot in order to break down the data for different areas eg sales, marketing.  We also use the charts for doing presentations for customers and supplier",I only use them occasionally so there is nothing I can think of at the moment,This is not something i have done,I think that it is important to do this as it add further interpretation of the data and helps you to justify any decisions.  It is better to annotate or validate the insights particuarly if you are presenting them to a customer,I take notes and screenshots so that I can go back to the data I got at the time or to refresh my memory It is good for comparing as well further along the line,1,If it was just generalised data that I could rely on it for such as sales figures. I would want to guide it myself for more specialised technical reports as to the performance of machine and calculating the expected lifespan of machiens,I do not fully trust AI yet so I would want explanations for its suggestions so that I could see how it had arrived at them,Making assumptions could lead to mistakes.  AI would not be able to see potential errors like a human with many years of specialised training,It would slow things down but I would be reassured that they had been thoroughly checked,"It might help by grouping them into different areas such as manufacturing, sales and marketing",It might be useful to have suggestions we may not have thought of,I wish they could be more specialised in certain fields,64457bc906c125cebd4bf66b
2025-05-31 15:46:33,2025-05-31 16:19:38,IP Address,155.238.5.1,100,1985,True,2025-05-31 16:19:39,R_28Up6kFPhXSinbi,,,,,-33.914,18.4129,anonymous,EN,0.4000000059604645,I consent,"Yes, regularly",26,Researcher,Information And Communication Technology,"Klipfolio, Tableau, Qlick sense, Microsoft Power BI, Asana, Trello.",5,4,"To monitor key matrics and Gain Insights & Make Data-Driven Decisions, identifying potential issues and risks.","Are we meeting our key performance indicators, How many new users/customers did we gain this week?","So common dashboard tasks includes Interactive filters like date, region, user segment often done by analysts, data scientists, or strategists. ","In my view, the role of a dashboard is to act as a bridge between data and action a tool that turns raw information into insight, and insight into decisions that help you achieve your goals.","Most tools don’t automatically identify drivers or correlations unless you run advanced queries so I would say combining complex or disconnected data sources. ","Yes, I wanted to understand why our recent email campaign underperformed compared to the previous month and the dashboard had over 20 widgets: open rates, CTRs, bounce rates, time-on-page, region maps, etc. ","It Charts & Graphs, Grid down capabilities and Embedded Documentation or Glossary.",Yes i think it automatic insight detection and Built-in Context and Narratives,"No, I hardly do so.","Yes I think it important because you need to know thay data alone can be ambiguous or misleading without background and it can improve communication since sharing dashboards with others, annotations act like inline notes or commentary.","Yes, I often externalize my thinking when working with dashboards or any complex data analysis. It helps me organize thoughts, track insights, and communicate effectively.",4,"The balance between letting AI take initiative versus guiding it yourself depends a lot on context, goals, and trust in the AI’s capabilities. When I’m starting with a large or unfamiliar dataset and want the AI to surface interesting patterns, anomalies, or correlations automatically.",To have extensive control instead of relying on AI actions for performance.,None,"I think that would make things easier for me Instead of switching apps or jotting notes elsewhere, I could pin my thoughts exactly where they matter right on the chart.",It can help me by grouping my work to be easier and have a personalised dashboard,It would be very helpful.,So i would say it automated natural language.,67e6e45f38ae6d7780f63533
2025-05-31 15:45:37,2025-05-31 16:19:53,IP Address,102.0.12.200,100,2056,True,2025-05-31 16:19:53,R_2ymMlnLhMOJm8Br,,,,,-1.2841,36.8155,anonymous,EN,0.5,I consent,"Yes, regularly",28,Health Information and Technology,B2B,Power BI,5,4,For data visualization or analysis,Analyse or represent data using any filters.,All the times as it's gives reports upon inputing what I want at the moment,To connect any particular data and information at a go.,Sorting a unique pattern in the app,"Yes, because at sometimes I lacks a proper enough words to input or querry when searching a particular thing what I want","Charts and graphs ",Ai tool to chat with it anytime and helps me instant.,"Yes, by eg foccusing on any specific thing or data patterns",Yes because it gives me a collect answer at the end which I can trust to work with.,"Yes, because it helps in having some confirmation with what I was doing at the end of it I can go back and have a look of whatever I was doing or noted.",5,Yes at all times that I can use it at any given time to seek what I want through the whole process.,Everytime for the whole process because it helps a lot without having much struggle I can rely on it anytime you want,Sometimes as Ai is in it's early stages not fully developed to fully trust and rely on sometimes it can be biased,It would not affect at all because it will make everything simple and easy way of doing every tasks easily.,It would help by classfying same related data together and what made a thing to happen and how it triggered anything.,Very much as it would be giving me well calculated data to deal with and well analysed things and decisions to execute.,A variety of charts which makes a decision so I can choose whatever I want anytime with a well backing data about it.,664b65aa96495b522be699fb
2025-05-31 15:48:53,2025-05-31 16:21:38,IP Address,154.159.238.125,100,1964,True,2025-05-31 16:21:38,R_22A3d1m23mikyfi,,,,,1,38,anonymous,EN,0.800000011920929,I consent,"Yes, regularly",27,Data Analyst,"Information Communication Technology ","Tableau,  Looker",4,4,"Data visualization dashboards, such as those built in Tableau, Power BI, or Looker, serve key purposes in professional settings. They enable real-time monitoring of KPIs and metrics to track performance. Dashboards also support data exploration, helping users identify trends and insights. By presenting complex data clearly, they facilitate informed decision making. Additionally, these tools automate reporting, saving time and improving communication across teams. Ultimately, dashboards enhance efficiency and foster a data-driven approach to business challenges.","Data dashboards help professionals answer critical business questions efficiently. They track performance against targets, identify trends over time, and flag anomalies requiring attention. Dashboards enable comparisons across segments, regions, or time periods, while also helping investigate root causes behind key metrics. By transforming complex data into clear visual insights, they support forecasting and data-driven decision making across organizations. ","Dashboards serve two key purposes: exploration (analyzing data to find insights) and explanation (communicating findings). Analysts typically spend more time exploring data to uncover trends, while business users focus on explanatory dashboards for decision-making. The split is often 30-40% exploration and 60-70% explanation, though this varies by role. For example, a marketing team might explore campaign data first, then present key metrics to leadership. Ultimately, dashboards bridge raw data with actionable insights.  ","Dashboards transform complex data into clear, actionable insights, enabling users to monitor progress, identify opportunities, and make informed decisions to achieve their goals efficiently.  ","Current dashboard tools often fall short in seamlessly merging real-time and historical data while also lacking accessible, no-code predictive analytics features that empower non-technical users. ","Yes! Sometimes dashboards are confusing—like when you can't find the right filter or don't know where to click next to see the data you need. ",I rely most on interactive filters for real-time data segmentation and drill-down capabilities to uncover root causes behind key metrics,"A built-in collaboration feature (e.g., threaded comments on visualizations) would streamline team discussions about insights directly within the dashboard.","Yes, dashboards frequently help form hypotheses. For example, if I notice a spike in customer support tickets after a product update, I might theorize that the update introduced a usability issue. The dashboard allows me to quickly test this by filtering data to compare ticket trends before and after the update.","Annotating and validating insights is critical because it ensures accuracy and prevents misinterpretations, turning raw data into trustworthy decisions.","Yes, I externalize my thinking by taking structured notes and screenshots—this helps me track patterns over time, share findings with stakeholders, and revisit my reasoning later to ensure consistency.",4,"I want AI to handle repetitive tasks like generating standard reports or flagging data outliers automatically. For complex or strategic work, such as interpreting nuanced trends or designing custom dashboards, I prefer to guide the process myself.","Complete control over AI actions is essential. I need to review and approve all AI generated outputs before they are used. The AI must provide simple explanations for every suggestion, like stating the data patterns or rules behind its recommendations. This ensures I can verify the logic and maintain accountability for decisions. ","I would be concerned about AI making incorrect assumptions due to missing context or hidden biases, which could lead to flawed analytical conclusions. ","The ability to annotate charts directly would enhance my workflow by enabling real time documentation of insights and questions within the dashboard. This would streamline collaboration, reduce reliance on external notes, and ensure important context remains attached to the data visualization. ","Grouping dashboard views by themes and tagging them would significantly improve my analysis by organizing related metrics in one place, making it easier to track patterns and answer specific business questions. For example, tagging all views related to customer retention under one theme would allow me to quickly compare churn rates, feedback scores, and support ticket trends without searching across multiple tabs. This approach saves time, reduces clutter, and ensures I stay focused on the most relevant data for each analysis. Additionally, shared tagging conventions would enhance team collaboration by keeping everyone aligned on how metrics are grouped and analyzed.","It would be extremely helpful if the system suggested relevant next steps or comparisons, as it would save time and uncover insights I might otherwise miss","I wish dashboard tools had features like automatic outlier detection, natural language queries such as 'Show regions with declining sales,' and one-click comparisons to benchmarks. These would speed up insight discovery and reduce manual effort.",660562bbe704ea297dcbd597
2025-05-31 15:46:34,2025-05-31 16:22:34,IP Address,41.116.113.9,100,2160,True,2025-05-31 16:22:35,R_8BagglyXGCY6c9i,,,,,-26.2309,28.0583,anonymous,EN,1,I consent,"Yes, regularly",21,legal practitioner,legal industry,Google Data Studio,4,5,"identifying trends and patterns, optimizing processes and improving productivity","What are your current sales trends?, Where are our operational bottlenecks? ","explanatory analysis: Finding patterns, trends, and insights in data to inform decisions. 
Communicating findings: Presenting results to stakeholders, often using visualizations to convey key messages.","Presenting complex information in an easily digestible format and monitoring key metrics and KPIs to identify areas for improvement,",Handling complex data queries: Managing intricate data relationships or large datasets,"Lack of context: insufficient background information or unclear goals, this can lead to fustration and difficulty extracting meaningful insights.",Data visualizatiom which includes charts and graphs,incorporating machine learning or predictive analytics,"yes, dashboards can facilitate hypotheis formation by revealing trends, patterns or anomalies . for example ""if we increase marketing spend on social media, we'll see a corresponding increase in website traffic"".","yes, because it adds context; provides background information on the data and insights","yes for capturing insights, recording key findings and ideas",4,"AI can generate dashboards to identify trends and patterns, AI can automate dashboards creation for regular updates.","AI operates autonomously, providing insights and recommedations. Transparency, users want to understand AI's reasoning and methodology",AI may perpetuate existing biases or introduce new ones,Share insights and feedbacks directly on charts,"categorize related views for easier access, This feature would enhance analysis by providing structure and facilitating discovery.",it would streamline analysis and exploration,Allowing users to create and share interactive narratives around their data,66af9fa7963e7445cdd2b1c5
2025-05-31 15:49:23,2025-05-31 16:23:10,IP Address,105.245.175.196,100,2026,True,2025-05-31 16:23:10,R_8Km7WeFXDwJkvlJ,,,,,-29.8553,31.0428,anonymous,EN,0.8999999761581421,I consent,"Yes, occasionally",31,nurse,medicine. Hospital. Government industry,EHR( Epic). Kronos. Microsoft,5,4,"Staffing and scheduling
Clinical decision support
Enhancing patient care
Streamline workflow.
","What are vital signs? 
Which patients are high risk? 
Which patients are due for medication? ","in general explanatory tasks are more common for our routine monitoring while exploratory is more for in depth analysis. ","tracking progress
finding areas that need improvement
informing decision making","real time analysis
interoperability","Yes,effectively communicating complex data insights through intuitive visualizations are a challenge for me sometimes",real time patient data monitoring,"real time updates
customizable views","yes, patients in the med surgical unit are more likely to experience falls during night shift due to staffing ratios, this can lead analyzing staffing data","yes, validation helps ensure that insights are accurate, reliable and relevant","yes. it improves my understanding, betters my communication and I can go back on my work. ",4,when things are getting too complicated and i need some extra help that i cant get anywhere else,i want to be in complete control because i need it to help me not do my job for me,ai making mistakes,"it would increase efficiency, create better teamwork and enhanced patient care",it definately would,"very because it will increase efficiency, improve decision making, have better patient outcomes","interactive filtering
real time update personalization",660eafee7515c432e850362d
2025-05-31 15:49:08,2025-05-31 16:30:51,IP Address,189.126.170.240,100,2503,True,2025-05-31 16:30:52,R_7M4leNesDOLegOl,,,,,-21.9335,-50.5193,anonymous,EN,0.30000001192092896,I consent,"Yes, regularly",25,Senior Manager IT,IT,Power BI,4,5,I use it mainly for real-time monitoring of the main critical goals of the business and my department.,I always try to answer how the current performance is in relation to the goals ? and what actions to prioritize with my staff.,"Most of the time I use it in an exploratory way, about 65% of the time, mainly at the start of projects in search of standards. I only move on to explanatory tasks when I'm completely sure that we're going to make concrete decisions, using the dashboard 35% of the time for explanatory tasks.","the dashboard helps me direct energy to the things that are really important, identifying patterns more quickly and making effective decisions for the business.","when there is a large volume of data, dashboards generally suffer from slowness, making it difficult to analyze quickly.","
I've experienced this when exploring dashboards that lacked intuitive filters or context in the data, which made it difficult to know whether the figures were up-to-date or segmented correctly.","In the filters, I'm very organized and I think the filters are essential because they make the information easier to understand","Greater integration with generative AI system To answer questions in natural language about the data, automatically suggest visualizations and speed up exploration.","
There was a time when the system was slowing down every early afternoon, and this was affecting the team's usage. So I went to the dashboard and started cross-referencing the data by time of day and type of use. And it was no surprise: between 1pm and 2pm, the number of requests skyrocketed - and almost all of them came from the reports module. In other words, it was as if everyone came back from lunch to get reports at the same time.
With this discovery, we were able to take action: we thought of alternatives to alleviate these times, such as better distributing usage, optimizing the module and even planning scalability improvements. performance improved and we were able to avoid drops in productivity.","
I consider it essential because an insight only has real value when it is traceable and replicable. If I don't write down the context - what I observed, in which filter, with which database - I can completely lose the thread of the analysis, or worse: someone can interpret it differently later.","


Yes, because it helps me organize and clarify my ideas, especially when I'm dealing with complex data or lots of filters on the dashboard. Putting my observations down on paper or in a document helps me to structure my thoughts and take a step away from the screens to focus on a specific situation.",5,"I accept that the AI takes the initiative as long as it is under my guidance, providing insights into a certain subject, this certain freedom for the AI should help me in certain situations.","I would like explanations for all her suggestions in the most structured way possible, so that it is convincing to me.","bias and lack of context, I need the AI to be impartial and not have a bias, even if it is positive or negative for me, I also need the assumptions to have a lot of context and explanations.","This would be innovative, help to capture insights at the right moment and create perfect synchronization with the team and stakeholders as it would work as a shared language and reduce misunderstandings.","This would be very helpful because the division into themes makes it easier to organize for quick comprehension, allowing us to go through simpler themes quickly and concentrate on those that require more investigation, without scattering between disconnected data.","The suggestions would be great as long as they are conscientious and have a basis in excellent explanations, this would help me to speed up decision making.",predictive analysis based on historical analysis and projections of problems or opportunities based on probability.,670ff6b426ff82aa6081be36
2025-05-31 15:48:28,2025-05-31 16:31:22,IP Address,105.161.181.44,100,2573,True,2025-05-31 16:31:22,R_25zG5rRO7gARQYk,,,,,-1.2841,36.8155,anonymous,EN,1,I consent,"Yes, regularly",24,MANAGER,IT,"Tableau, power BI, google data studio",4,4,making informed decision,where should we allocate more resources,i use them for both purposes but mostly for exploratory tasks,they help me make informed decisions,connecting to certain data sources  can be complex,yes when i wanted  to drill down into the data but couldn't  figure out how to do itch,"charts, filters, dropdown",more customizable drill down capabilities,"yes, i might notice a dip  in sales in a particular region. my hypothesis would be the new competitor entered a new market",yes annotating will help in remembering the context and the reasoning behind an insight making it possible to revisit later while validating ensures insights are accurate,"yes i record questions that arise and take screenshots which i can use for reference later ",4,"when it comes to routine tasks like generating initial drafts of a dashboard 
i would like to be guided when exploring  specific questions  so that i can highly customize them",large control of being able to review and potentially override its suggestions,lack of context can lead to misleading assumptions,it could improve my workflow as it would streamline the process of documenting my analysis,it would   significantly improve organization,it could be very helpful especially for exploratory analysis,integrated natural language,65fae23bd06ae76bcc297e8b
2025-05-31 15:45:21,2025-05-31 16:32:12,IP Address,41.150.226.159,100,2810,True,2025-05-31 16:32:12,R_8teU1JWyYxmirgP,,,,,-26.2309,28.0583,anonymous,EN,1,I consent,"Yes, regularly",43,Manager,Supply chain and logistics,"SAP, Oracle SCM cloud",5,4,"To provide clear, real time and actionable view of key information.","Performance monitoring, trend analysis.",Most dashboards are designed primarily for explanatory tasks while exploratory analysis is often done elsewhere.,Dashboards play a critical role in helping me and my organization to achieve goals by making data visible and understandable.,Deep exploratory analysis,No  have never felt stuck.,I rely on charts and dropdowns.,Not really.,"Yes, forming hypotheses is a natural and often essential part of using dashboards. Especially when i notice something unexpected or want to understand the why behind a metric","Yes, it is important to annotate and validate insights gained from dashboards .Eg prevent misinterpretation.","Yes,it helps with referalls.",4,With explanations.,The Ai must be able to interpret some of my suggestions.,If the information is accurate.,It would have a positive impact on my workflow.,It would safe me a lot of time and that would make me to be productive.,It would really safe time.,Reports.,67d0150e4b08e8cb6e8ef533
2025-05-31 16:10:20,2025-05-31 16:36:06,IP Address,105.4.4.144,100,1545,True,2025-05-31 16:36:07,R_2nASGF9iO9LqYmp,,,,,-26.1917,28.0523,anonymous,EN,0.8999999761581421,I consent,"Yes, regularly",25,CEO,IT industry,"Google analytics ,Databox,Power BI",4,4,"Exploration ,decison making and getting answers",Sales perfomance? Which products generates the most revenue?,Exploratory is mostly 40% then explanatory 60%,Make informed decisions,Complex data analysis is a difficult task,"Yes,too many metrics were making it hard for me to focus",Interactive charts,No,Yes I form hypotheses while using a dashboard If I notice a sudden spark in a website traffic,Yes it is important because it improves decision making,Yes by taking screenshots this helps me to clarify my thoughts,4,"I want to guide AI with options ","Guided control,yes I would want explanations for its suggestion",I would have concerns with data quality,"It would streamline my workflow ","My analysis will be organised ",It would save me a lot of time,Explainable AI,66cdafacec6c782fd8d43fe6
2025-05-31 15:54:25,2025-05-31 16:39:42,IP Address,41.150.37.188,100,2716,True,2025-05-31 16:39:43,R_2zAzE5sOLFF2FMT,,,,,-26.2309,28.0583,anonymous,EN,1,I consent,"Yes, regularly",49,Manager,education and training,Tableau,5,5,exploration,project management  questions,very often,"improves business outcome ",custom visualization creation,"poor navigation resulting to difficulty finding the information ","dropdowns, filters and charts","dashboard which is customizable according to and individual choice ","yes for example when I want to check my data analysis ",yes because it helps with analysis which makes it easier to recheck history,yes by taking screenshots to capture my process and track progress,5,"I want to guide Ai myself whenever dealing with situations that require human response and insight but I  would want an Ai to take initiative when I am facing repetitive tasks ",I would want more control over Ai actions so it follows my instructions instead and yes I would want an explanation for its suggestion so I understand each and every outcome taken.,Incomplete informaion,easy analysis,"data organization ",very helpful,"data filtering which is made easier ",67e16ec310211c18ab1c4db8
2025-05-31 15:51:49,2025-05-31 16:40:57,IP Address,41.13.10.177,100,2947,True,2025-05-31 16:40:57,R_80tSvkxnsI3cM1f,,,,,-26.2309,28.0583,anonymous,EN,0.8999999761581421,I consent,"Yes, regularly",26,"Data science ","Mathematics and technology ","Power BI, SQL and Python ",5,5,Decision-making and hiring,"What are our sales trends over time?
Which products are performing best?
Where are our customers located?
What are the key drivers of our revenue","Exploratory (finding patterns): often used by analysts and data scientists to discover insights, identify trends, and understand complex data relationships 
Explanatory (communicating findings): often used by stakeholders, executives, or business users to understand and act on insights ","Providing real-time insights: Dashboards offer up-to-date information, enabling timely decisions","Handling complex data relationships: Visualising intricate data connections or hierarchical relationships can be difficult ","Yes, uncertainty about what specific metrics or fields represent ",Interactive visualisations,"Advanced predictive analytics ","Yes, dashboards can facilitate hypothesis formation while analysing sales data on a dashboard, you notice a sudden spike in sales for a specific product in a particular region ","Yes, annotating or validating insights is crucial because it ensures accuracy ","Yes, write and to share with others",5,"Right now, same time","Take full control, i have to know the steps it took","It alright since I don’t want to make mistakes ",I could work productive everytime,"I wouldn’t need AI ","Off lift the workload and work integrity ","Insist changes and explain ",6828ad65485d660ad3225d3a
2025-05-31 15:45:55,2025-05-31 16:42:30,IP Address,41.116.12.192,100,3394,True,2025-05-31 16:42:31,R_8b1WDbcVXMBxBS8,,,,,-26.2135,28.1858,anonymous,EN,1,I consent,"Yes, regularly",54,supervisor,Electrical Engineer,Google Data Studio and Tableau,5,4,Tracking key performance and monitoring metrics,How have sales trended over the past or how does our performance compare to last year,It depends,"A dashboard plays a crucial role in helping to achieve goals by tracking progress, identifying  areas for improvement",Complex Data Visualizations,"Yes,  the overload of data was too much , it was making it difficult for me to focus on key insights. 
 the key insights",Performance and Scalability feature.,"Yes, Advanced Analytics and User Experience Features","Yes, a correlation between website traffic and sales.","Yes, it is important that annotations provide context to insights, making it easier for others to understand the findings","Yes, writing down your thoughts and ideas can help to clarify and organise them.",5,Initiating AL can be beneficial in various situations. By starting small or beginning with pilot projects to test.,On level control  and factors influencing control.,Lack of transparency or contextual understanding.,It will improve my understanding and help me in making decisions.,They can significantly enhance analysis.,Can be extremely helpful,Advanced analytics features  and collaborating and sharing features.,660ac057e97fa9b32914bb6d
2025-05-31 15:49:15,2025-05-31 16:43:01,IP Address,102.0.20.196,100,3226,True,2025-05-31 16:43:02,R_8GwvaPL0PdAGBGS,,,,,-1.2841,36.8155,anonymous,EN,0.8999999761581421,I consent,"Yes, occasionally",25,"Am a senior mechanic ","I work at Gregon Auto Garage ",Tableau,4,3,"Monitoring ","Supporting Decision-Making:
What actions should be taken based on the current data?
Dashboards can be designed to highlight key data points that trigger specific actions or decision-making processes.
How will changes in one area impact other parts of the organization or process?
Dashboards can be used to model the impact of potential changes and assess their overall consequences.","Exploratory analysis allows the user to interact with the visualizations to uncover their own findings. Whereas, explanatory analysis is more prescriptive. I regularly to with exploratory....","It really helps me on decisions making ",Power BI,Yes I was stuck somehow when trying to explore power BI but somehow I got assisted with my friend.,Dropdowns,"No ","People who get enough education about something will minimize mistakes when doing a task ","Annotating allows you to actively engage with information, making it more memorable and easier to understand. Validating these insights helps ensure their accuracy and relevance, promoting critical thinking and sound decision-making. It will help you to make more better decisions and executions.",Yes I do by taking written notes on a not book to make out in key points down for a better reference.,5,"I will allow AI to take initiative In Real-Time Decision Making: In situations where data is constantly changing (e.g., stock trading, monitoring network traffic), an AI can respond rapidly to emerging trends or threats without waiting for human intervention. But I guide myself on Creative Endeavors: In creative fields, such as art or writing, human input can steer the AI in a way that aligns with emotional or thematic intentions.","In many cases, a balanced approach is optimal, where users retain a level of control aligned with their comfort and expertise while also having access to clear explanations for the AI’s suggestions. This fosters a collaborative relationship, leveraging the strengths of both human and AI intelligence to arrive at informed, contextually appropriate decisions.","AI makes some good decisions because it's more reliable and faster ","Overall, the ability to annotate charts directly with thoughts and questions would greatly enhance the analytical process, making it more collaborative, efficient, and insightful. It would foster a deeper understanding of the data, encourage critical thinking, and improve communication among team members, ultimately leading to better-informed decisions.","Ability to group and tag dashboard views by themes would lead to a more organized, efficient, and insightful analytical process. It encourages focused analysis, facilitates effective communication, enhances collaboration, and supports comprehensive and longitudinal understanding of data. This structured approach ultimately drives better data-informed decision-making within the organization.","It will be very supportive to the organisation "," better support exploration and insight-making, dashboard tools could benefit from features like interactive visualizations with drill-down capabilities, AI-powered insights, and real-time collaboration. Customizable interfaces and user-friendly design are also crucial for making data exploration intuitive and engaging. ",664b7cea18fe17cd31b5ab5e
